Cem,W/B,FA,CA,RCA,SCM,SP,NF,FT,Length,Age,CS
500,0.4924,474.3,1106.7,100,0,0,0,x,0,56,43.9
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,56,87.7
454.5,0.289108911,514.1,1198.7,100,45.5,15,0,x,0,56,76.2
500,0.36,523.7,1221.9,0,0,0,0,x,0,56,51.9
500,0.36,491,1145.7,100,0,0,0,x,0,56,53.8
500,0.4134,478.2,1115.8,100,0,0,0,x,0,56,48
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,56,87.7
454.5,0.277227723,516.8,1205.8,100,45.5,15,0,x,0,56,85.3
454.5,0.293289329,503.3,1174.5,100,45.5,15,0,x,0,56,84.4
500,0.36,523.7,1221.9,0,0,0,0,x,0,90,50.8
500,0.414,486.6,1135.4,100,0,0,0,x,0,90,49.3
500,0.482,472.3,1102,100,0,0,0,x,0,90,44.7
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,90,73.6
454.5,0.341034103,512.5,1195,100,45.5,15,0,x,0,90,66.2
454.5,0.440484048,497.1,1159.9,100,45.5,15,0,x,0,90,62.8
500,0.36,523.7,1221.9,0,0,0,0,x,0,90,53.2
500,0.36,485.5,1132,100,0,0,0,x,0,90,53.1
500,0.4286,470.3,1097.4,100,0,0,0,x,0,90,45.1
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,90,89.9
454.5,0.292849285,511,1191.4,100,45.5,15,0,x,0,90,84.3
454.5,0.387238724,495,1155,100,45.5,15,0,x,0,90,73.9
500,0.36,523.7,1221.9,0,0,0,0,x,0,90,53.2
500,0.36,485.5,1132,100,0,0,0,x,0,90,56.1
500,0.4458,470.3,1097.4,100,0,0,0,x,0,90,55.6
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,90,89.9
454.5,0.299229923,511,1191.4,100,45.5,15,0,x,0,90,96.7
454.5,0.355775578,495,1155,100,45.5,15,0,x,0,90,86
500,0.36,523.7,1221.9,0,0,0,0,x,0,90,53.2
500,0.3754,488.5,1138.9,100,0,0,0,x,0,90,52.1
500,0.4924,474.3,1106.7,100,0,0,0,x,0,90,46.3
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,90,89.9
454.5,0.289108911,514.1,1198.7,100,45.5,15,0,x,0,90,78.5
500,0.36,523.7,1221.9,0,0,0,0,x,0,90,53.2
500,0.36,491,1145.7,100,0,0,0,x,0,90,55.4
500,0.4134,478.2,1115.8,100,0,0,0,x,0,90,49.9
454.5,0.277227723,551.2,1286.1,0,45.5,15,0,x,0,90,89.9
454.5,0.277227723,516.8,1205.8,100,45.5,15,0,x,0,90,88.2
454.5,0.293289329,503.3,1174.5,100,45.5,15,0,x,0,90,87.5
